trade_id,route,direction,actual_target_r,exit_reason,mfe_r,mae_r,net,result_interpretation
T079,B_COMPLEX_H2_L2,BUY,14.4712,STOP,1.7115,-1.0385,-47.84,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T080,B_COMPLEX_H2_L2,BUY,6.5397,STOP,1.4123,-1.0420,-46.69,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T081,A_HEALTHY_FIRST_RESUME,SELL,2.0675,STOP,1.3605,-1.0423,-39.72,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T082,B_COMPLEX_H2_L2,BUY,5.9158,TARGET,6.0250,-0.0737,269.76,实际目标先触及
T083,A_HEALTHY_FIRST_RESUME,BUY,2.0991,STOP,0.1573,-1.0085,-46.80,未达到1R MFE即触及结构止损
T084,A_HEALTHY_FIRST_RESUME,BUY,5.4329,STOP,3.5447,-1.1318,-51.00,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T085,A_HEALTHY_FIRST_RESUME,BUY,6.1646,STOP,3.6250,-1.0348,-50.56,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T086,B_COMPLEX_H2_L2,BUY,2.6879,STOP,0.2711,-1.0301,-47.80,未达到1R MFE即触及结构止损
T087,B_COMPLEX_H2_L2,BUY,2.7113,TARGET,2.7113,-0.1387,132.96,实际目标先触及
T088,A_HEALTHY_FIRST_RESUME,BUY,2.7276,STOP,1.7312,-1.2724,-50.22,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T089,A_HEALTHY_FIRST_RESUME,BUY,2.7086,TARGET,3.0243,-0.0214,132.72,实际目标先触及
T090,B_COMPLEX_H2_L2,BUY,3.2145,STOP,0.7157,-1.0399,-48.12,未达到1R MFE即触及结构止损
T091,B_COMPLEX_H2_L2,BUY,9.6504,STOP,0.9528,-1.0094,-50.80,未达到1R MFE即触及结构止损
T092,A_HEALTHY_FIRST_RESUME,SELL,2.5093,STOP,1.5056,-1.0157,-43.20,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T093,A_HEALTHY_FIRST_RESUME,SELL,2.6471,TARGET,2.6836,-0.4404,133.20,实际目标先触及
T094,A_HEALTHY_FIRST_RESUME,SELL,4.0667,TARGET,4.1054,-0.9287,183.61,实际目标先触及
T095,A_HEALTHY_FIRST_RESUME,SELL,2.1828,STOP,0.1471,-1.2002,-48.95,未达到1R MFE即触及结构止损
T096,A_HEALTHY_FIRST_RESUME,SELL,5.2711,STOP,0.3568,-1.0061,-45.71,未达到1R MFE即触及结构止损
T097,B_COMPLEX_H2_L2,SELL,5.2330,STOP,2.7975,-1.0097,-50.47,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T098,A_HEALTHY_FIRST_RESUME,SELL,3.3265,STOP,0.6831,-1.0027,-51.24,未达到1R MFE即触及结构止损
T099,B_COMPLEX_H2_L2,SELL,4.2557,STOP,0.6133,-1.0000,-48.10,未达到1R MFE即触及结构止损
