trade_id,month,opportunity_id,setup_id,candidate_match_count,combined_trade_match_count,duplicate_fill,status
T044,2026_MARCH,XAUUSD.s|-1|1773386400|1773389700|A1,XAUUSD.s|-1|1773386400|1773389700,1,1,NO,PASS
T045,2026_MARCH,XAUUSD.s|-1|1773386400|1773391500|A1,XAUUSD.s|-1|1773386400|1773391500,1,1,NO,PASS
T046,2026_MARCH,XAUUSD.s|-1|1773634200|1773634500|A1,XAUUSD.s|-1|1773634200|1773634500,1,1,NO,PASS
T047,2026_MARCH,XAUUSD.s|-1|1773634200|1773642300|A1,XAUUSD.s|-1|1773634200|1773642300,1,1,NO,PASS
T048,2026_MARCH,XAUUSD.s|-1|1773673800|1773674100|A1,XAUUSD.s|-1|1773673800|1773674100,1,1,NO,PASS
T049,2026_MARCH,XAUUSD.s|-1|1773681000|1773681300|A1,XAUUSD.s|-1|1773681000|1773681300,1,1,NO,PASS
T050,2026_MARCH,XAUUSD.s|-1|1773701400|1773701700|A1,XAUUSD.s|-1|1773701400|1773701700,1,1,NO,PASS
T051,2026_MARCH,XAUUSD.s|-1|1773771900|1773772800|A1,XAUUSD.s|-1|1773771900|1773772800,1,1,NO,PASS
T052,2026_MARCH,XAUUSD.s|-1|1773957300|1773957600|A1,XAUUSD.s|-1|1773957300|1773957600,1,1,NO,PASS
T053,2026_MARCH,XAUUSD.s|-1|1773983100|1773983400|A2,XAUUSD.s|-1|1773983100|1773983400,1,1,NO,PASS
T054,2026_MARCH,XAUUSD.s|-1|1773993600|1773994200|A1,XAUUSD.s|-1|1773993600|1773994200,1,1,NO,PASS
T055,2026_MARCH,XAUUSD.s|-1|1774009800|1774010100|A1,XAUUSD.s|-1|1774009800|1774010100,1,1,NO,PASS
T056,2026_MARCH,XAUUSD.s|-1|1774303800|1774335300|A1,XAUUSD.s|-1|1774303800|1774335300,1,1,NO,PASS
T057,2026_MARCH,XAUUSD.s|-1|1774349100|1774349400|A1,XAUUSD.s|-1|1774349100|1774349400,1,1,NO,PASS
T058,2026_MARCH,XAUUSD.s|-1|1774418400|1774420500|A1,XAUUSD.s|-1|1774418400|1774420500,1,1,NO,PASS
T059,2026_MARCH,XAUUSD.s|-1|1774418400|1774421400|A1,XAUUSD.s|-1|1774418400|1774421400,1,1,NO,PASS
T060,2026_MARCH,XAUUSD.s|-1|1774490400|1774503600|A1,XAUUSD.s|-1|1774490400|1774503600,1,1,NO,PASS
T061,2026_MARCH,XAUUSD.s|-1|1774584600|1774584900|A2,XAUUSD.s|-1|1774584600|1774584900,1,1,NO,PASS
T062,2026_MARCH,XAUUSD.s|-1|1774640100|1774641300|A1,XAUUSD.s|-1|1774640100|1774641300,1,1,NO,PASS
T063,2026_MARCH,XAUUSD.s|-1|1774640100|1774643400|A1,XAUUSD.s|-1|1774640100|1774643400,1,1,NO,PASS
T064,2026_MARCH,XAUUSD.s|-1|1774640100|1774652700|A1,XAUUSD.s|-1|1774640100|1774652700,1,1,NO,PASS
T065,2026_MARCH,XAUUSD.s|-1|1774854300|1774855200|A1,XAUUSD.s|-1|1774854300|1774855200,1,1,NO,PASS
T066,2026_MARCH,XAUUSD.s|-1|1774888800|1774899000|A1,XAUUSD.s|-1|1774888800|1774899000,1,1,NO,PASS
T067,2026_MARCH,XAUUSD.s|-1|1774935900|1774938300|A1,XAUUSD.s|-1|1774935900|1774938300,1,1,NO,PASS
T068,2026_MARCH,XAUUSD.s|-1|1774982100|1774982400|A2,XAUUSD.s|-1|1774982100|1774982400,1,1,NO,PASS
T069,2026_MAY,XAUUSD.s|1|1777625100|1777625400|A2,XAUUSD.s|1|1777625100|1777625400,1,1,NO,PASS
T070,2026_MAY,XAUUSD.s|1|1777632000|1777632300|A2,XAUUSD.s|1|1777632000|1777632300,1,1,NO,PASS
T071,2026_MAY,XAUUSD.s|1|1777673400|1777673400|A1,XAUUSD.s|1|1777673400|1777673400,1,1,NO,PASS
T072,2026_MAY,XAUUSD.s|1|1778177400|1778177700|A2,XAUUSD.s|1|1778177400|1778177700,1,1,NO,PASS
T073,2026_MAY,XAUUSD.s|1|1778221800|1778231100|A1,XAUUSD.s|1|1778221800|1778231100,1,1,NO,PASS
T074,2026_MAY,XAUUSD.s|-1|1778576400|1778575200|A1,XAUUSD.s|-1|1778576400|1778575200,1,1,NO,PASS
T075,2026_MAY,XAUUSD.s|-1|1778576400|1778578200|A1,XAUUSD.s|-1|1778576400|1778578200,1,1,NO,PASS
T076,2026_MAY,XAUUSD.s|-1|1779148200|1779148500|A2,XAUUSD.s|-1|1779148200|1779148500,1,1,NO,PASS
T077,2026_MAY,XAUUSD.s|-1|1779223500|1779224100|A1,XAUUSD.s|-1|1779223500|1779224100,1,1,NO,PASS
T078,2026_MAY,XAUUSD.s|1|1779483600|1779483900|A1,XAUUSD.s|1|1779483600|1779483900,1,1,NO,PASS
T079,2026_MAY,XAUUSD.s|1|1779762300|1779762600|A2,XAUUSD.s|1|1779762300|1779762600,1,1,NO,PASS
T080,2026_MAY,XAUUSD.s|1|1779773400|1779773700|A2,XAUUSD.s|1|1779773400|1779773700,1,1,NO,PASS
T081,2026_MAY,XAUUSD.s|-1|1779948900|1779949200|A1,XAUUSD.s|-1|1779948900|1779949200,1,1,NO,PASS
T082,AUGUST,XAUUSD.s|1|1786041600|1786041900|A2,XAUUSD.s|1|1786041600|1786041900,1,1,NO,PASS
T083,AUGUST,XAUUSD.s|1|1786354800|1786356000|A1,XAUUSD.s|1|1786354800|1786356000,1,1,NO,PASS
T084,AUGUST,XAUUSD.s|1|1786447500|1786449000|A1,XAUUSD.s|1|1786447500|1786449000,1,1,NO,PASS
T085,AUGUST,XAUUSD.s|1|1786447500|1786455300|A1,XAUUSD.s|1|1786447500|1786455300,1,1,NO,PASS
T086,AUGUST,XAUUSD.s|1|1786587300|1786588500|A2,XAUUSD.s|1|1786587300|1786588500,1,1,NO,PASS
T087,AUGUST,XAUUSD.s|1|1786704000|1786706100|A2,XAUUSD.s|1|1786704000|1786706100,1,1,NO,PASS
T088,AUGUST,XAUUSD.s|1|1786955100|1786960800|A1,XAUUSD.s|1|1786955100|1786960800,1,1,NO,PASS
T089,AUGUST,XAUUSD.s|1|1787004300|1787004600|A1,XAUUSD.s|1|1787004300|1787004600,1,1,NO,PASS
T090,AUGUST,XAUUSD.s|1|1787601000|1787601300|A2,XAUUSD.s|1|1787601000|1787601300,1,1,NO,PASS
T091,AUGUST,XAUUSD.s|1|1787629800|1787630100|A2,XAUUSD.s|1|1787629800|1787630100,1,1,NO,PASS
T092,AUGUST,XAUUSD.s|-1|1787766600|1787768100|A1,XAUUSD.s|-1|1787766600|1787768100,1,1,NO,PASS
T093,AUGUST,XAUUSD.s|-1|1787815500|1787816400|A1,XAUUSD.s|-1|1787815500|1787816400,1,1,NO,PASS
T094,AUGUST,XAUUSD.s|-1|1787834100|1787835900|A1,XAUUSD.s|-1|1787834100|1787835900,1,1,NO,PASS
T095,AUGUST,XAUUSD.s|-1|1787834100|1787845800|A1,XAUUSD.s|-1|1787834100|1787845800,1,1,NO,PASS
T096,AUGUST,XAUUSD.s|-1|1787864400|1787864700|A1,XAUUSD.s|-1|1787864400|1787864700,1,1,NO,PASS
T097,AUGUST,XAUUSD.s|-1|1787909400|1787909700|A2,XAUUSD.s|-1|1787909400|1787909700,1,1,NO,PASS
T098,AUGUST,XAUUSD.s|-1|1787917200|1787925300|A1,XAUUSD.s|-1|1787917200|1787925300,1,1,NO,PASS
T099,AUGUST,XAUUSD.s|-1|1788179100|1788179400|A2,XAUUSD.s|-1|1788179100|1788179400,1,1,NO,PASS
